											
sample id	species	sample location	microbe type	Family	Genus	Species	island	region	province	Municipality of Presentacion	elevation
25352-GB-VS	Limnonectes woodworthi	Gut	Bacteria	Dicroglossidae	Limnonectes	woodworthi	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25352-SB-VS	Limnonectes woodworthi	Skin	Bacteria	Dicroglossidae	Limnonectes	woodworthi	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25356-GB-VS	Sanguirana luzonensis	Gut	Bacteria	Ranidae	Sanguirana	luzonensis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25356-SB-VS	Sanguirana luzonensis	Skin	Bacteria	Ranidae	Sanguirana	luzonensis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25361-GB-VS	Occidozyga laevis	Gut	Bacteria	Dicroglossidae	Occidozyga	laevis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25361-SB-VS	Occidozyga laevis	Skin	Bacteria	Dicroglossidae	Occidozyga	laevis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25363-GB-VS	Kaloula walteri	Gut	Bacteria	Microhylidae	Kaloula	walteri	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25363-SB-VS	Kaloula walteri	Skin	Bacteria	Microhylidae	Kaloula	walteri	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25411-GB-VS	Platymantis dorsalis	Gut	Bacteria	Ceratobatrichidae	Platymantis	dorsalis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25411-SB-VS	Platymantis dorsalis	Skin	Bacteria	Ceratobatrichidae	Platymantis	dorsalis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	165
25486-GB-VS	Platymantis corrugatus	Gut	Bacteria	Ceratobatrichidae	Platymantis	corrugatus	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	649
25486-SB-VS	Platymantis corrugatus	Skin	Bacteria	Ceratobatrichidae	Platymantis	corrugatus	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	649
25518-GB-VS	Rhacophorus bimaculatus	Gut	Bacteria	Rhacophoridae	Rhacophorus	bimaculatus	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	467
25518-SB-VS	Rhacophorus bimaculatus	Skin	Bacteria	Rhacophoridae	Rhacophorus	bimaculatus	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	467
25544-GB-VS	Pulchrana similis	Gut	Bacteria	Ranidae	Pulchrana	similis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	467
25544-SB-VS	Pulchrana similis	Skin	Bacteria	Ranidae	Pulchrana	similis	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	467
25594-GB-VS	Fejervarya vittigera	Gut	Bacteria	Dicroglossidae	Fejervarya	vittigera	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	110
25594-SB-VS	Fejervarya vittigera	Skin	Bacteria	Dicroglossidae	Fejervarya	vittigera	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	110
25606-GB-VS	Limnonectes macrocephalus	Gut	Bacteria	Dicroglossidae	Limnonectes	macrocephalus	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	152
25606-SB-VS	Limnonectes macrocephalus	Skin	Bacteria	Dicroglossidae	Limnonectes	macrocephalus	Luzon Island	Bicol Faunal Region; Caramoan Peninsula	Camarines Sur Province	Municipality of Presentacion	152